canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.5000000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.5416666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.5833333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.6250000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.6666666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.7083333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.7500000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.7916666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.8333333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.8750000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.9166666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.9583333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	1.0000000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.0000000000	45	15	45	0.250000	0.333333	0.333333	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.0416666667	45	15	45	0.250000	0.333333	0.333333	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.0833333333	45	15	45	0.250000	0.333333	0.333333	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.1250000000	45	15	37	0.498988	0.511111	0.405405	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.1666666667	45	15	29	0.688735	0.688889	0.517241	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.2083333333	45	15	15	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.2500000000	45	15	15	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.2916666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.3333333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.3750000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.4166666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.4583333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.5000000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.5416666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.5833333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.6250000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.6666666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.7083333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.7500000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.7916666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.8333333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.8750000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.9166666667	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.9583333333	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	1.0000000000	45	15	0	0.400000	0.666667	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.0000000000	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.0416666667	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.0833333333	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.1250000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.1666666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.2083333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.2500000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.2916666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.3333333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.3750000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.4166666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.4583333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.5000000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.5416666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.5833333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.6250000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.6666666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.7083333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.7500000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.7916666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.8333333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.8750000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.9166666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.9583333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	1.0000000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.0000000000	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.0416666667	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.0833333333	8	2	8	0.200000	0.250000	0.250000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.1250000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.1666666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.2083333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.2500000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.2916666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.3333333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.3750000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.4166666667	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.4583333333	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.5000000000	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.5416666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.5833333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.6250000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.6666666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.7083333333	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.7500000000	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.7916666667	8	2	0	0.428571	0.750000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.8333333333	8	2	0	0.428571	0.750000	0.000000	0.000000
